STATION_ID,EXTERNAL_LOCATION_ID,EXTERNAL_PARAMETER_ID,TIMESTEP_HOUR,UNIT,IMPORT_SOURCE,THRESHOLD_LOW_WATERS,THRESHOLD_FLOOD_ALERT,THRESHOLD_EVACUATION
54,54,39,24.0,m,INA,0.1,3.0,3.8
55,55,2,,m,INA,2.4,5.35,6.0
55,55,4,,m^3/s,INA,,,
55,55,39,24.0,m,INA,2.4,5.35,6.0
55,55,40,24.0,m^3/s,INA,,,
56,56,2,,m,INA,0.0,6.0,6.4
56,56,39,24.0,m,INA,0.0,6.0,6.4
57,57,2,,m,INA,3.2,7.8,8.3
57,57,4,,m^3/s,INA,,,
57,57,39,24.0,m,INA,3.2,7.8,8.3
57,57,40,24.0,m^3/s,INA,,,
58,58,2,,m,INA,,6.5,7.0
58,58,39,24.0,m,INA,,6.5,7.0
59,59,2,,m,INA,2.5995,,
59,59,39,24.0,m,INA,2.5995,,
60,60,2,,m,INA,,,
60,60,39,24.0,m,INA,,,
61,61,2,,m,INA,,,
61,61,4,,m^3/s,INA,,,
61,61,39,24.0,m,INA,,,
61,61,40,24.0,m^3/s,INA,,,
62,62,2,,m,INA,,,
62,62,39,24.0,m,INA,,,
63,63,2,,m,INA,,,
63,63,39,24.0,m,INA,,,
65,65,2,,m,INA,1.3,8.0,10.0
65,65,4,,m^3/s,INA,,,
65,65,39,24.0,m,INA,1.3,8.0,10.0
65,65,40,24.0,m^3/s,INA,,,
66,66,2,,m,INA,0.904,15.5,16.5
66,66,39,24.0,m,INA,0.904,15.5,16.5
67,67,2,,m,INA,0.03,12.0,14.0
67,67,4,,m^3/s,INA,,,
67,67,39,24.0,m,INA,0.03,12.0,14.0
67,67,40,24.0,m^3/s,INA,,,
68,68,2,,m,INA,1.3,11.5,12.5
68,68,4,,m^3/s,INA,,,
68,68,39,24.0,m,INA,1.3,11.5,12.5
68,68,40,24.0,m^3/s,INA,,,
69,69,2,,m,INA,0.89,9.5,11.0
69,69,39,24.0,m,INA,0.89,9.5,11.0
70,70,2,,m,INA,0.26,9.5,11.5
70,70,39,24.0,m,INA,0.26,9.5,11.5
71,71,2,,m,INA,0.0,9.5,10.5
71,71,39,24.0,m,INA,0.0,9.5,10.5
72,72,2,,m,INA,1.4,7.5,8.5
72,72,4,,m^3/s,INA,,,
72,72,39,24.0,m,INA,1.4,7.5,8.5
72,72,40,24.0,m^3/s,INA,,,
73,73,2,,m,INA,0.0,7.9,10.8
73,73,39,24.0,m,INA,0.0,7.9,10.8
74,74,2,,m,INA,0.8,7.5,8.5
74,74,4,,m^3/s,INA,,,
74,74,39,24.0,m,INA,0.8,7.5,8.5
74,74,40,24.0,m^3/s,INA,,,
75,75,2,,m,INA,5.24,10.3,12.0
75,75,39,24.0,m,INA,5.24,10.3,12.0
76,76,2,,m,INA,31.25,,
76,76,39,24.0,m,INA,31.25,,
77,77,2,,m,INA,33.0,35.5,36.0
77,77,4,,m^3/s,INA,,,
77,77,39,24.0,m,INA,33.0,35.5,36.0
77,77,40,24.0,m^3/s,INA,,,
78,78,2,,m,INA,5.6,17.3,17.8
78,78,4,,m^3/s,INA,,,
78,78,39,24.0,m,INA,5.6,17.3,17.8
78,78,40,24.0,m^3/s,INA,,,
79,79,2,,m,INA,1.7,11.0,12.5
79,79,4,,m^3/s,INA,,,
79,79,39,24.0,m,INA,1.7,11.0,12.5
79,79,40,24.0,m^3/s,INA,,,
80,80,2,,m,INA,1.4,7.1,7.9
80,80,39,24.0,m,INA,1.4,7.1,7.9
81,81,2,,m,INA,0.9,5.3,6.3
81,81,39,24.0,m,INA,0.9,5.3,6.3
82,82,2,,m,INA,0.0,5.3,6.3
82,82,39,24.0,m,INA,0.0,5.3,6.3
84,84,2,,m,INA,,2.9,3.1
84,84,39,24.0,m,INA,,2.9,3.1
85,85,2,,m,INA,0.5,3.3,3.9
85,85,39,24.0,m,INA,0.5,3.3,3.9
86,86,2,,m,INA,0.3,2.5,2.8
86,86,39,24.0,m,INA,0.3,2.5,2.8
87,87,4,,m^3/s,INA,,,
87,87,40,24.0,m^3/s,INA,,,
88,88,4,,m^3/s,INA,,,
88,88,40,24.0,m^3/s,INA,,,
92,92,4,,m^3/s,INA,,,
92,92,40,24.0,m^3/s,INA,,,
93,93,4,,m^3/s,INA,,,
93,93,40,24.0,m^3/s,INA,,,
99,99,2,,m,INA,0.72,3.5,3.8
99,99,39,24.0,m,INA,0.72,3.5,3.8
103,103,2,,m,INA,,4.7,
103,103,4,,m^3/s,INA,,,
103,103,39,24.0,m,INA,,4.7,
105,105,2,,m,INA,,4.0,
105,105,39,24.0,m,INA,,4.0,
131,131,2,,m,INA,0.0,9.5,10.0
131,131,39,24.0,m,INA,0.0,9.5,10.0
149,149,2,,m,INA,,,
175,175,2,,m,INA,,4.5,
175,175,39,24.0,m,INA,,4.5,
873,873,1,24.0,mm/d,INA,,,
874,874,1,24.0,mm/d,INA,,,
878,878,1,24.0,mm/d,INA,,,
884,884,1,24.0,mm/d,INA,,,
885,885,1,24.0,mm/d,INA,,,
887,887,1,24.0,mm/d,INA,,,
895,895,1,24.0,mm/d,INA,,,
1015,1015,1,24.0,mm/d,INA,,,
1016,1016,1,24.0,mm/d,INA,,,
1016,1016,2,,m,INA,,,
1016,1016,39,24.0,m,INA,,,
1017,1017,1,24.0,mm/d,INA,,,
1017,1017,2,,m,INA,,,
1017,1017,39,24.0,m,INA,,,
1019,1019,1,24.0,mm/d,INA,,,
1019,1019,2,,m,INA,,,
1019,1019,39,24.0,m,INA,,,
1022,1022,1,24.0,mm/d,INA,,,
1022,1022,2,,m,INA,,,
1022,1022,39,24.0,m,INA,,,
1024,1024,1,24.0,mm/d,INA,,,
1035,1035,1,24.0,mm/d,INA,,,
1035,1035,2,,m,INA,,,
1035,1035,4,,m^3/s,INA,,,
1035,1035,39,24.0,m,INA,,,
1035,1035,40,24.0,m^3/s,INA,,,
1036,1036,1,24.0,mm/d,INA,,,
1036,1036,2,,m,INA,,,
1036,1036,39,24.0,m,INA,,,
1038,1038,1,24.0,mm/d,INA,,,
1038,1038,2,,m,INA,,,
1038,1038,4,,m^3/s,INA,,,
1038,1038,39,24.0,m,INA,,,
1038,1038,40,24.0,m^3/s,INA,,,
1039,1039,1,24.0,mm/d,INA,,,
1039,1039,2,,m,INA,,,
1039,1039,39,24.0,m,INA,,,
1062,1062,1,24.0,mm/d,INA,,,
1064,1064,1,24.0,mm/d,INA,,,
1067,1067,1,24.0,mm/d,INA,,,
1068,1068,1,24.0,mm/d,INA,,,
1070,1070,1,24.0,mm/d,INA,,,
1071,1071,1,24.0,mm/d,INA,,,
1074,1074,1,24.0,mm/d,INA,,,
1074,1074,2,,m,INA,,,
1074,1074,39,24.0,m,INA,,,
1075,1075,1,24.0,mm/d,INA,,,
1077,1077,1,24.0,mm/d,INA,,,
1077,1077,2,,m,INA,,,
1077,1077,39,24.0,m,INA,,,
1078,1078,1,24.0,mm/d,INA,,,
1094,1094,2,,m,INA,,3.5,
1094,1094,39,24.0,m,INA,,3.5,
1257,1257,2,,m,INA,,,
1257,1257,39,24.0,m,INA,,,
1679,1679,2,,m,INA,,4.7,
1679,1679,39,24.0,m,INA,,4.7,
1698,1698,2,,m,INA,,,
1698,1698,39,24.0,m,INA,,,
1701,1701,2,,m,INA,,,
1701,1701,39,24.0,m,INA,,,
1706,1706,2,,m,INA,,,
1706,1706,39,24.0,m,INA,,,
1708,1708,2,,m,INA,,,
1708,1708,39,24.0,m,INA,,,
1739,1739,2,,m,INA,,,
1739,1739,39,24.0,m,INA,,,
1743,1743,2,,m,INA,,,
1743,1743,39,24.0,m,INA,,,
1744,1744,2,,m,INA,,,
1744,1744,39,24.0,m,INA,,,
1877,1877,2,,m,INA,,,
1877,1877,39,24.0,m,INA,,,
2111,2111,2,,m,INA,,,
2111,2111,39,24.0,m,INA,,,
2112,2112,2,,m,INA,,,
2112,2112,39,24.0,m,INA,,,
2113,2113,2,,m,INA,,,
2113,2113,39,24.0,m,INA,,,
2115,2115,2,,m,INA,3.0,6.5,7.0
2115,2115,39,24.0,m,INA,3.0,6.5,7.0
2116,2116,2,,m,INA,3.41,8.01,8.51
2116,2116,39,24.0,m,INA,3.41,8.01,8.51
2117,2117,2,,m,INA,,,
2117,2117,39,24.0,m,INA,,,
2119,2119,2,,m,INA,,,
2119,2119,39,24.0,m,INA,,,
2120,2120,2,,m,INA,,,
2120,2120,39,24.0,m,INA,,,
2121,2121,2,,m,INA,,,
2121,2121,39,24.0,m,INA,,,
2122,2122,2,,m,INA,,,
2122,2122,39,24.0,m,INA,,,
2123,2123,2,,m,INA,,,
2123,2123,39,24.0,m,INA,,,
2125,2125,2,,m,INA,,,
2125,2125,39,24.0,m,INA,,,
2127,2127,2,,m,INA,,,
2127,2127,39,24.0,m,INA,,,
2129,2129,2,,m,INA,,,
2129,2129,39,24.0,m,INA,,,
2130,2130,2,,m,INA,,,
2130,2130,39,24.0,m,INA,,,
2131,2131,2,,m,INA,2.74,6.84,7.54
2131,2131,39,24.0,m,INA,2.74,6.84,7.54
2132,2132,2,,m,INA,2.6,5.2,5.7
2132,2132,39,24.0,m,INA,2.6,5.2,5.7
2133,2133,2,,m,INA,4.16,7.11,7.76
2133,2133,39,24.0,m,INA,4.16,7.11,7.76
2134,2134,2,,m,INA,,,
2134,2134,39,24.0,m,INA,,,
2135,2135,2,,m,INA,,,
2135,2135,39,24.0,m,INA,,,
2136,2136,2,,m,INA,,,
2136,2136,39,24.0,m,INA,,,
2137,2137,2,,m,INA,,,
2137,2137,39,24.0,m,INA,,,
2139,2139,2,,m,INA,,,
2139,2139,39,24.0,m,INA,,,
2141,2141,2,,m,INA,,,
2141,2141,39,24.0,m,INA,,,
2142,2142,2,,m,INA,,,
2142,2142,39,24.0,m,INA,,,
2143,2143,2,,m,INA,,,
2143,2143,39,24.0,m,INA,,,
2144,2144,2,,m,INA,,,
2144,2144,39,24.0,m,INA,,,
2145,2145,2,,m,INA,,,
2145,2145,39,24.0,m,INA,,,
2146,2146,2,,m,INA,,,
2146,2146,39,24.0,m,INA,,,
2147,2147,2,,m,INA,,,
2147,2147,39,24.0,m,INA,,,
2148,2148,2,,m,INA,,,
2148,2148,39,24.0,m,INA,,,
2149,2149,2,,m,INA,,,
2149,2149,39,24.0,m,INA,,,
2150,2150,2,,m,INA,,,
2150,2150,39,24.0,m,INA,,,
2151,2151,2,,m,INA,,,
2151,2151,39,24.0,m,INA,,,
2152,2152,2,,m,INA,,,
2152,2152,39,24.0,m,INA,,,
2153,2153,1,24.0,mm/d,INA,,,
2153,2153,2,,m,INA,,,
2153,2153,39,24.0,m,INA,,,
2154,2154,1,24.0,mm/d,INA,,,
2154,2154,2,,m,INA,,,
2154,2154,39,24.0,m,INA,,,
2155,2155,1,24.0,mm/d,INA,,,
2157,2157,1,24.0,mm/d,INA,,,
2157,2157,2,,m,INA,,,
2157,2157,39,24.0,m,INA,,,
2158,2158,1,24.0,mm/d,INA,,,
2158,2158,2,,m,INA,,,
2158,2158,39,24.0,m,INA,,,
2159,2159,1,24.0,mm/d,INA,,,
2159,2159,2,,m,INA,,,
2159,2159,39,24.0,m,INA,,,
2160,2160,1,24.0,mm/d,INA,,,
2160,2160,2,,m,INA,,,
2160,2160,39,24.0,m,INA,,,
2161,2161,1,24.0,mm/d,INA,,,
2161,2161,2,,m,INA,,,
2161,2161,39,24.0,m,INA,,,
2162,2162,1,24.0,mm/d,INA,,,
2162,2162,2,,m,INA,,,
2162,2162,39,24.0,m,INA,,,
2163,2163,1,24.0,mm/d,INA,,,
2163,2163,2,,m,INA,,,
2163,2163,39,24.0,m,INA,,,
2164,2164,1,24.0,mm/d,INA,,,
2164,2164,2,,m,INA,,,
2164,2164,39,24.0,m,INA,,,
2165,2165,1,24.0,mm/d,INA,,,
2165,2165,2,,m,INA,,,
2165,2165,39,24.0,m,INA,,,
2166,2166,1,24.0,mm/d,INA,,,
2166,2166,2,,m,INA,,,
2166,2166,39,24.0,m,INA,,,
2167,2167,1,24.0,mm/d,INA,,,
2169,2169,1,24.0,mm/d,INA,,,
2170,2170,1,24.0,mm/d,INA,,,
2171,2171,1,24.0,mm/d,INA,,,
2173,2173,1,24.0,mm/d,INA,,,
2174,2174,1,24.0,mm/d,INA,,,
2175,2175,2,,m,INA,,,
2175,2175,39,24.0,m,INA,,,
2177,2177,2,,m,INA,,,
2177,2177,39,24.0,m,INA,,,
2178,2178,2,,m,INA,,,
2178,2178,4,,m^3/s,INA,,,
2178,2178,39,24.0,m,INA,,,
2178,2178,40,24.0,m^3/s,INA,,,
2179,2179,2,,m,INA,,,
2179,2179,39,24.0,m,INA,,,
2180,2180,2,,m,INA,,,
2180,2180,39,24.0,m,INA,,,
2181,2181,2,,m,INA,,,
2181,2181,39,24.0,m,INA,,,
2182,2182,1,24.0,mm/d,INA,,,
2183,2183,1,24.0,mm/d,INA,,,
2183,2183,2,,m,INA,,,
2183,2183,39,24.0,m,INA,,,
2184,2184,1,24.0,mm/d,INA,,,
2184,2184,2,,m,INA,,,
2184,2184,39,24.0,m,INA,,,
2185,2185,2,,m,INA,,,
2185,2185,39,24.0,m,INA,,,
2187,2187,1,24.0,mm/d,INA,,,
2187,2187,2,,m,INA,,,
2187,2187,39,24.0,m,INA,,,
2188,2188,1,24.0,mm/d,INA,,,
2188,2188,2,,m,INA,,,
2188,2188,39,24.0,m,INA,,,
2193,2193,1,24.0,mm/d,INA,,,
2193,2193,2,,m,INA,,,
2193,2193,39,24.0,m,INA,,,
2194,2194,1,24.0,mm/d,INA,,,
2194,2194,2,,m,INA,,,
2194,2194,39,24.0,m,INA,,,
2196,2196,2,,m,INA,,,
2196,2196,39,24.0,m,INA,,,
2197,2197,2,,m,INA,,,
2197,2197,39,24.0,m,INA,,,
2198,2198,1,24.0,mm/d,INA,,,
2198,2198,2,,m,INA,,,
2198,2198,39,24.0,m,INA,,,
2199,2199,2,,m,INA,,,
2199,2199,39,24.0,m,INA,,,
2200,2200,1,24.0,mm/d,INA,,,
2200,2200,2,,m,INA,,,
2200,2200,39,24.0,m,INA,,,
2201,2201,2,,m,INA,,,
2201,2201,39,24.0,m,INA,,,
2202,2202,2,,m,INA,,,
2202,2202,39,24.0,m,INA,,,
2203,2203,2,,m,INA,,7.0,8.3
2203,2203,4,,m^3/s,INA,,,
2203,2203,39,24.0,m,INA,,7.0,8.3
2203,2203,40,24.0,m^3/s,INA,,,
2204,2204,2,,m,INA,,,
2204,2204,39,24.0,m,INA,,,
2205,2205,2,,m,INA,,,
2205,2205,4,,m^3/s,INA,,,
2205,2205,39,24.0,m,INA,,,
2205,2205,40,24.0,m^3/s,INA,,,
2206,2206,1,24.0,mm/d,INA,,,
2206,2206,2,,m,INA,,,
2206,2206,39,24.0,m,INA,,,
2207,2207,2,,m,INA,,,
2207,2207,39,24.0,m,INA,,,
2208,2208,2,,m,INA,,,
2208,2208,39,24.0,m,INA,,,
2209,2209,1,24.0,mm/d,INA,,,
2210,2210,2,,m,INA,,,
2210,2210,39,24.0,m,INA,,,
2211,2211,2,,m,INA,,,
2211,2211,39,24.0,m,INA,,,
2212,2212,2,,m,INA,,,
2212,2212,39,24.0,m,INA,,,
2213,2213,2,,m,INA,,,
2213,2213,39,24.0,m,INA,,,
2215,2215,2,,m,INA,,,
2215,2215,39,24.0,m,INA,,,
2216,2216,2,,m,INA,,,
2216,2216,39,24.0,m,INA,,,
2219,2219,1,24.0,mm/d,INA,,,
2219,2219,2,,m,INA,,,
2219,2219,39,24.0,m,INA,,,
2220,2220,2,,m,INA,,,
2220,2220,39,24.0,m,INA,,,
2221,2221,2,,m,INA,,,
2221,2221,39,24.0,m,INA,,,
2223,2223,2,,m,INA,,,
2223,2223,39,24.0,m,INA,,,
2225,2225,2,,m,INA,,,
2225,2225,39,24.0,m,INA,,,
2227,2227,1,24.0,mm/d,INA,,,
2227,2227,2,,m,INA,,,
2227,2227,39,24.0,m,INA,,,
2228,2228,2,,m,INA,,,
2228,2228,39,24.0,m,INA,,,
2229,2229,1,24.0,mm/d,INA,,,
2229,2229,2,,m,INA,,,
2229,2229,39,24.0,m,INA,,,
2355,2355,2,,m,INA,,,
2355,2355,39,24.0,m,INA,,,
2357,2357,2,,m,INA,,,
2357,2357,39,24.0,m,INA,,,
2593,2593,2,,m,INA,,,
2593,2593,39,24.0,m,INA,,,
2606,2606,1,24.0,mm/d,INA,,,
2606,2606,2,,m,INA,,,
2606,2606,39,24.0,m,INA,,,
2607,2607,1,24.0,mm/d,INA,,,
2607,2607,2,,m,INA,,,
2607,2607,39,24.0,m,INA,,,
2608,2608,2,,m,INA,,,
2608,2608,39,24.0,m,INA,,,
2609,2609,1,24.0,mm/d,INA,,,
2610,2610,2,,m,INA,,,
2610,2610,39,24.0,m,INA,,,
2671,2671,2,,m,INA,,,
2671,2671,39,24.0,m,INA,,,
2672,2672,2,,m,INA,,,
2672,2672,39,24.0,m,INA,,,
2673,2673,2,,m,INA,,,
2673,2673,39,24.0,m,INA,,,
2731,2731,1,24.0,mm/d,INA,,,
2731,2731,2,,m,INA,,,
2731,2731,39,24.0,m,INA,,,
2732,2732,1,24.0,mm/d,INA,,,
2732,2732,2,,m,INA,,,
2732,2732,39,24.0,m,INA,,,
2741,2741,1,24.0,mm/d,INA,,,
2749,2749,1,24.0,mm/d,INA,,,
2762,2762,2,,m,INA,,,
2762,2762,39,24.0,m,INA,,,
2807,2807,2,,m,INA,,,
2807,2807,39,24.0,m,INA,,,
2808,2808,2,,m,INA,,,
2808,2808,39,24.0,m,INA,,,
2809,2809,2,,m,INA,,,
2809,2809,39,24.0,m,INA,,,
2810,2810,2,,m,INA,,,
2810,2810,39,24.0,m,INA,,,
2812,2812,2,,m,INA,,,
2812,2812,39,24.0,m,INA,,,
2813,2813,2,,m,INA,,,
2813,2813,39,24.0,m,INA,,,
2814,2814,2,,m,INA,,,
2814,2814,39,24.0,m,INA,,,
2818,2818,1,24.0,mm/d,INA,,,
2820,2820,1,24.0,mm/d,INA,,,
2821,2821,2,,m,INA,,,
2821,2821,39,24.0,m,INA,,,
2822,2822,2,,m,INA,,,
2822,2822,39,24.0,m,INA,,,
2823,2823,2,,m,INA,,,
2823,2823,39,24.0,m,INA,,,
2824,2824,2,,m,INA,,,
2824,2824,39,24.0,m,INA,,,
2825,2825,1,24.0,mm/d,INA,,,
2825,2825,2,,m,INA,,,
2825,2825,39,24.0,m,INA,,,
2826,2826,2,,m,INA,,,
2826,2826,39,24.0,m,INA,,,
2828,2828,2,,m,INA,,,
2828,2828,39,24.0,m,INA,,,
2829,2829,2,,m,INA,,,
2829,2829,39,24.0,m,INA,,,
2830,2830,2,,m,INA,,,
2830,2830,39,24.0,m,INA,,,
2831,2831,2,,m,INA,,,
2831,2831,39,24.0,m,INA,,,
2832,2832,2,,m,INA,,,
2832,2832,39,24.0,m,INA,,,
2833,2833,2,,m,INA,,,
2833,2833,39,24.0,m,INA,,,
2834,2834,2,,m,INA,,,
2834,2834,39,24.0,m,INA,,,
2835,2835,2,,m,INA,,,
2835,2835,39,24.0,m,INA,,,
2836,2836,2,,m,INA,,,
2836,2836,39,24.0,m,INA,,,
2837,2837,2,,m,INA,,,
2837,2837,39,24.0,m,INA,,,
2838,2838,2,,m,INA,,,
2838,2838,39,24.0,m,INA,,,
2840,2840,1,24.0,mm/d,INA,,,
2842,2842,2,,m,INA,,,
2842,2842,39,24.0,m,INA,,,
2843,2843,2,,m,INA,,,
2843,2843,39,24.0,m,INA,,,
2844,2844,2,,m,INA,,,
2844,2844,39,24.0,m,INA,,,
2845,2845,2,,m,INA,,,
2845,2845,39,24.0,m,INA,,,
2846,2846,1,24.0,mm/d,INA,,,
2848,2848,1,24.0,mm/d,INA,,,
2849,2849,1,24.0,mm/d,INA,,,
2853,2853,2,,m,INA,,,
2853,2853,39,24.0,m,INA,,,
2854,2854,2,,m,INA,,,
2854,2854,39,24.0,m,INA,,,
2855,2855,2,,m,INA,,,
2855,2855,39,24.0,m,INA,,,
2856,2856,1,24.0,mm/d,INA,,,
2857,2857,1,24.0,mm/d,INA,,,
5430,5430,2,,m,INA,,,
5430,5430,39,24.0,m,INA,,,
5873,5873,2,,m,INA,,,
5873,5873,39,24.0,m,INA,,,
5874,5874,2,,m,INA,,,
5874,5874,39,24.0,m,INA,,,
5876,5876,2,,m,INA,,,
5876,5876,39,24.0,m,INA,,,
5893,5893,2,,m,INA,2.6,5.0,5.25
5894,5894,2,,m,INA,2.6,4.6,5.9
5900,5900,2,,m,INA,2.4,5.3,5.5
5901,5901,2,,m,INA,2.3,4.7,5.0
5901,5901,4,,m^3/s,INA,,,
5901,5901,39,24.0,m,INA,2.3,4.7,5.0
5901,5901,40,24.0,m^3/s,INA,,,
5905,5905,2,,m,INA,1.9,4.0,4.5
5907,5907,2,,m,INA,0.3,2.0,2.2
5910,5910,2,,m,INA,,,
5910,5910,39,24.0,m,INA,,,
